"AnalyseVidéo: Temps (s)";"AnalyseVidéo: X (m)";"AnalyseVidéo: Y (m)";"AnalyseVidéo: Vitesse X (m/s)";"AnalyseVidéo: Vitesse Y (m/s)"
0,24;-0,223951998822;1,76458242983;-3,35881386319;5,54030774149
0,28;-0,343580601208;1,97872907661;-3,83926907511;5,7088992284
0,32;-0,51009038223;2,22294809106;-4,39437831948;5,72816977458
0,36;-0,707225408616;2,45118719902;-4,6984222285;5,44184327251
0,4;-0,904090917691;2,66398567058;-4,61537628747;4,98744077131
0,44;-1,06952262947;2,84644213942;-4,59800458895;4,60697343994
0,48;-1,26584910392;3,02835933818;-4,6734998329;4,32141849032
0,52;-1,46177130241;3,18711558233;-4,39648990626;4,12782399047
0,56;-1,61175563285;3,36984168622;-4,26517089855;3,67426409878
0,6;-1,78383296605;3,49040079194;-4,53285206253;3,02603583823
0,64;-1,97894661261;3,60283512689;-4,72307275216;2,55077455354
0,68;-2,17352122454;3,68438818904;-4,66513122103;2,30508951049
0,72;-2,35318748976;3,79709215904;-4,53973738179;1,88360398803
0,76;-2,53150616842;3,83259294703;-4,51201266471;1,52476923155
0,8;-2,71835708968;3,91428082671;-4,41596392065;1,24757155895
0,84;-2,8809588697;3,93461061335;-4,41034897667;0,925891633931
0,88;-3,06740551499;3,99313753842;-4,48905549951;0,51693242311
0,92;-3,24478088307;3,97459609901;-4,47657956306;0,109564808036
0,96;-3,42283004442;3,9946562506;-4,52581793104;-0,143354032685
1;-3,60792910316;3,97597999367;-4,52774853362;-0,647506495101
1,04;-3,78490019527;3,93427759966;-4,51639558597;-0,990538125172
1,08;-3,97731866872;3,8923055706;-4,33379221852;-1,24691830515
1,12;-4,13111868882;3,85100762916;-4,15861517319;-1,81555270826
1,16;-4,2990185037;3,73223687067;-4,15321687131;-2,43219952115
